"sex","year","age","n_countries","death_count","population_count"
"female",1751,0,1,5988,28595.61
"female",1751,1,1,1286.45,26191.55
"female",1751,2,1,834.56,26508.24
"female",1751,3,1,622,22053.87
"female",1751,4,1,470.99,18244.12
"female",1751,5,1,339,18296.82
"female",1751,6,1,233.88,18094.76
"female",1751,7,1,157.58,18040.69
"female",1751,8,1,110.1,18324.15
"female",1751,9,1,91.45,18807.98
"female",1751,10,1,96.28,18296.14
"female",1751,11,1,103.19,17713.5
"female",1751,12,1,106.86,17039.1
"female",1751,13,1,107.26,16449.55
"female",1751,14,1,104.41,15939.98
"female",1751,15,1,99.22,16570.65
"female",1751,16,1,95.41,17010.95
"female",1751,17,1,93.9,17118.63
"female",1751,18,1,94.69,17282.31
"female",1751,19,1,97.78,17430.77
"female",1751,20,1,102.69,16901.85
"female",1751,21,1,107.5,16460.07
"female",1751,22,1,111.77,16088.59
"female",1751,23,1,115.45,15822.2
"female",1751,24,1,118.59,15370.35
"female",1751,25,1,121.49,15391.02
"female",1751,26,1,125.55,15450.72
"female",1751,27,1,131.1,15468.8
"female",1751,28,1,138.16,15448.83
"female",1751,29,1,146.7,15287.97
"female",1751,30,1,155.69,14314.7
"female",1751,31,1,160.83,13352.42
"female",1751,32,1,161.1,12350.63
"female",1751,33,1,156.45,11436.73
"female",1751,34,1,146.93,10627.16
"female",1751,35,1,134.26,10810.93
"female",1751,36,1,125.44,11164.94
"female",1751,37,1,122.21,11538.23
"female",1751,38,1,124.57,11989.25
"female",1751,39,1,132.53,12265.8
"female",1751,40,1,144.18,11233.71
"female",1751,41,1,151.91,10322.27
"female",1751,42,1,153.82,9473.27
"female",1751,43,1,149.91,8627.03
"female",1751,44,1,140.19,7795.34
"female",1751,45,1,126.68,8121.22
"female",1751,46,1,117.53,8659.56
"female",1751,47,1,114.8,9314.69
"female",1751,48,1,118.46,10155.2
"female",1751,49,1,128.53,10956.27
"female",1751,50,1,143.05,9911.9
"female",1751,51,1,154.23,8861.08
"female",1751,52,1,160.1,7861.81
"female",1751,53,1,160.67,6968.06
"female",1751,54,1,155.94,6123.67
"female",1751,55,1,148.3,6343.53
"female",1751,56,1,147.26,6672
"female",1751,57,1,155.21,7147.67
"female",1751,58,1,172.15,7876.66
"female",1751,59,1,198.07,8735.82
"female",1751,60,1,230.02,8544.61
"female",1751,61,1,256.12,8311.95
"female",1751,62,1,273.41,7760.1
"female",1751,63,1,281.88,7074.47
"female",1751,64,1,281.55,6286.88
"female",1751,65,1,274.82,6048.71
"female",1751,66,1,271.34,5876.15
"female",1751,67,1,273.53,5771.78
"female",1751,68,1,281.39,5664.79
"female",1751,69,1,294.92,5580.32
"female",1751,70,1,311.33,4895.12
"female",1751,71,1,319.45,4223.91
"female",1751,72,1,316.48,3564.4
"female",1751,73,1,302.43,2926.81
"female",1751,74,1,277.3,2339.58
"female",1751,75,1,244.54,2163.34
"female",1751,76,1,217.89,2026.73
"female",1751,77,1,200.83,1952.99
"female",1751,78,1,193.34,1927.69
"female",1751,79,1,195.42,1843.71
"female",1751,80,1,204.09,1638.03
"female",1751,81,1,207.39,1431.32
"female",1751,82,1,202.35,1227.15
"female",1751,83,1,188.96,1029.21
"female",1751,84,1,167.22,852.88
"female",1751,85,1,139.3,700.88
"female",1751,86,1,113.83,569.74
"female",1751,87,1,92.98,464.3
"female",1751,88,1,76.75,381.26
"female",1751,89,1,65.14,316.54
"female",1751,90,1,68.99,255.82
"female",1751,91,1,58.07,201.42
"female",1751,92,1,48.27,156.58
"female",1751,93,1,39.62,120.1
"female",1751,94,1,32.08,91.21
"female",1751,95,1,25.62,68.4
"female",1751,96,1,20.18,50.32
"female",1751,97,1,15.66,36.42
"female",1751,98,1,11.98,26.38
"female",1751,99,1,9.02,18.22
"female",1751,100,1,6.69,12.67
"female",1751,101,1,4.88,8.59
"female",1751,102,1,3.5,5.27
"female",1751,103,1,2.48,3.03
"female",1751,104,1,1.72,1.68
"female",1751,105,1,1.17,0.96
"female",1751,106,1,0.78,0.64
"female",1751,107,1,0.29,0
"female",1751,108,1,0,0
"female",1751,109,1,0,0
"female",1751,110,1,0,0
"female",1752,0,1,6735,27192
"female",1752,1,1,1896.42,25797.3
"female",1752,2,1,1244.58,25250.2
"female",1752,3,1,876.52,25780.64
"female",1752,4,1,641.47,21507.86
"female",1752,5,1,489.9,17843.34
"female",1752,6,1,374.46,18009.54
"female",1752,7,1,283.3,17898.42
"female",1752,8,1,216.45,17906.47
"female",1752,9,1,173.89,18223.23
"female",1752,10,1,152.15,18715.67
"female",1752,11,1,137.33,18196.57
"female",1752,12,1,125.95,17608.56
"female",1752,13,1,118.03,16932.05
"female",1752,14,1,113.54,16343.65
"female",1752,15,1,111.99,15837.99
"female",1752,16,1,111.23,16473.25
