"country","min_year","max_year"
"SWE",1751,2011
"FRACNP",1816,2012
"FRATNP",1816,2012
"DNK",1835,2011
"ISL",1838,2010
"BEL",1841,2012
"GBRCENW",1841,2011
"GBRTENW",1841,2011
"NOR",1846,2009
"NLD",1850,2009
"GBR_SCO",1855,2011
"ITA",1872,2009
"CHE",1876,2011
"FIN",1878,2009
"NZL_NM",1901,2008
"ESP",1908,2012
"AUS",1921,2009
"CAN",1921,2009
"GBR_NIR",1922,2011
"GBR_NP",1922,2011
"USA",1933,2010
"PRT",1940,2012
"AUT",1947,2010
"BGR",1947,2010
"JPN",1947,2012
"NZL_MA",1948,2008
"NZL_NP",1948,2008
"CZE",1950,2011
"HUN",1950,2009
"IRL",1950,2009
"SVK",1950,2009
"DEUTE",1956,2011
"DEUTW",1956,2011
"POL",1958,2009
"BLR",1959,2012
"EST",1959,2011
"LTU",1959,2011
"LVA",1959,2011
"RUS",1959,2010
"UKR",1959,2009
"LUX",1960,2009
"TWN",1970,2010
"ISR",1983,2009
"SVN",1983,2009
"DEUTNP",1990,2011
"CHL",1992,2005
